idx,model_id,source,arch,arch_group,arch_family,dataset,extra_annotations
1,alexnet,torchvision.models,alexnet,CNN,cnn,ImageNet-1k,[]
2,convmixer_1024_20_ks9_p14.in1k,timm,convmixer,CNN,cnn,ImageNet-1k,[]
3,convmixer_1536_20.in1k,timm,convmixer,CNN,cnn,ImageNet-1k,[]
4,convmixer_768_32.in1k,timm,convmixer,CNN,cnn,ImageNet-1k,[]
5,cs3darknet_focus_l.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
6,cs3darknet_focus_m.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
7,cs3darknet_l.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
8,cs3darknet_m.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
9,cs3darknet_x.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
10,cs3sedarknet_l.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
11,cs3sedarknet_x.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
12,cspdarknet53.ra_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
13,darknet53.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
14,darknetaa53.c2ns_in1k,timm,darknet,CNN,cnn,ImageNet-1k,[]
15,densenet121,torchvision.models,densenet,CNN,cnn,ImageNet-1k,[]
16,densenet121.ra_in1k,timm,densenet,CNN,cnn,ImageNet-1k,[]
17,densenet161,torchvision.models,densenet,CNN,cnn,ImageNet-1k,[]
18,densenet169,torchvision.models,densenet,CNN,cnn,ImageNet-1k,[]
19,densenet201,torchvision.models,densenet,CNN,cnn,ImageNet-1k,[]
20,densenetblur121d.ra_in1k,timm,densenet,CNN,cnn,ImageNet-1k,[]
21,dla102.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
22,dla102x.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
23,dla102x2.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
24,dla169.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
25,dla34.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
26,dla46_c.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
27,dla46x_c.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
28,dla60.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
29,dla60x.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
30,dla60x_c.in1k,timm,dla,CNN,cnn,ImageNet-1k,[]
31,dpn107.mx_in1k,timm,dpn,CNN,cnn,ImageNet-1k,[]
32,dpn131.mx_in1k,timm,dpn,CNN,cnn,ImageNet-1k,[]
33,dpn68.mx_in1k,timm,dpn,CNN,cnn,ImageNet-1k,[]
34,dpn68b.mx_in1k,timm,dpn,CNN,cnn,ImageNet-1k,[]
35,dpn68b.ra_in1k,timm,dpn,CNN,cnn,ImageNet-1k,[]
36,dpn92.mx_in1k,timm,dpn,CNN,cnn,ImageNet-1k,[]
37,dpn98.mx_in1k,timm,dpn,CNN,cnn,ImageNet-1k,[]
38,focalnet_base_lrf.ms_in1k,timm,focalnet,CNN,cnn,ImageNet-1k,[]
39,focalnet_base_srf.ms_in1k,timm,focalnet,CNN,cnn,ImageNet-1k,[]
40,focalnet_small_lrf.ms_in1k,timm,focalnet,CNN,cnn,ImageNet-1k,[]
41,focalnet_small_srf.ms_in1k,timm,focalnet,CNN,cnn,ImageNet-1k,[]
42,focalnet_tiny_lrf.ms_in1k,timm,focalnet,CNN,cnn,ImageNet-1k,[]
43,focalnet_tiny_srf.ms_in1k,timm,focalnet,CNN,cnn,ImageNet-1k,[]
44,googlenet,torchvision.models,googlenet,CNN,cnn,ImageNet-1k,[]
45,hrnet_w18.ms_aug_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
46,hrnet_w18.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
47,hrnet_w18_small.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
48,hrnet_w18_small_v2.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
49,hrnet_w18_ssld.paddle_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,['Distillation']
50,hrnet_w30.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
51,hrnet_w32.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
52,hrnet_w40.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
53,hrnet_w44.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
54,hrnet_w48.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
55,hrnet_w48_ssld.paddle_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,['Distillation']
56,hrnet_w64.ms_in1k,timm,hrnet,CNN,cnn,ImageNet-1k,[]
57,inception_v3,torchvision.models,inception,CNN,cnn,ImageNet-1k,[]
58,inception_v3.gluon_in1k,timm,inception,CNN,cnn,ImageNet-1k,[]
59,inception_v3.tf_adv_in1k,timm,inception,CNN,cnn,ImageNet-1k,['Adversarial Training']
60,inception_v3.tf_in1k,timm,inception,CNN,cnn,ImageNet-1k,[]
61,inception_v4.tf_in1k,timm,inception,CNN,cnn,ImageNet-1k,[]
62,dm_nfnet_f0.dm_in1k,timm,nfnet,CNN,cnn,ImageNet-1k,[]
63,dm_nfnet_f1.dm_in1k,timm,nfnet,CNN,cnn,ImageNet-1k,[]
64,dm_nfnet_f2.dm_in1k,timm,nfnet,CNN,cnn,ImageNet-1k,[]
65,dm_nfnet_f3.dm_in1k,timm,nfnet,CNN,cnn,ImageNet-1k,[]
66,dm_nfnet_f4.dm_in1k,timm,nfnet,CNN,cnn,ImageNet-1k,[]
