model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
facebook--convnext-base-224,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],19.44,36.64,83.826,92.65039236992848,7500,7500,1458,6042,6042,17.256083639486775,42.40656328854592,43.66730838304284,17.256083639486775,42.40656328854592,43.66730838304284,10,0,966,69,0,821,4176
facebook--convnext-base-224-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],33.16,54.68,85.812,94.60412731274617,7500,7500,2487,5013,5013,30.02318416919099,56.02684649174079,57.42493632250425,30.02318416919099,56.02684649174079,57.42493632250425,15,0,1052,75,0,796,3075
facebook--convnext-base-384,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],25.32,45.64,85.11,93.998343646378,7500,7500,1899,5601,5601,25.809760285692647,49.84209732383559,51.18312666231897,25.809760285692647,49.84209732383559,51.18312666231897,14,0,905,71,0,795,3816
facebook--convnext-base-384-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],37.74666666666667,62.36,86.798,95.60488373812319,7500,7500,2831,4669,4669,38.09145518328715,61.46655719100994,62.69066378705316,38.09145518328715,61.46655719100994,62.69066378705316,16,0,963,66,0,694,2930
facebook--convnext-large-224,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],23.36,41.333333333333336,84.304,93.14386155382334,7500,7500,1752,5748,5748,20.519373799381416,45.73628312180971,47.00846208268787,20.519373799381416,45.73628312180971,47.00846208268787,12,0,1015,66,0,804,3851
facebook--convnext-large-384,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],29.8,50.70666666666666,85.504,94.33289784647802,7500,7500,2235,5265,5265,29.137337343617308,53.632600411889186,55.05620923343296,29.137337343617308,53.632600411889186,55.05620923343296,9,0,998,72,0,754,3432
facebook--convnext-large-384-22k-1k,197767336,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],41.053333333333335,65.50666666666666,87.476,95.95548667577717,7500,7500,3079,4421,4421,42.17943829312872,64.4648683055259,65.88392447696351,42.17943829312872,64.4648683055259,65.88392447696351,16,0,923,76,0,673,2733
facebook--convnext-small-224,50223688,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],15.506666666666666,31.36,83.182,92.14629721027214,7500,7500,1163,6337,6337,14.050309350396992,38.77926481364737,39.960525596405844,14.050309350396992,38.77926481364737,39.960525596405844,11,0,944,62,0,824,4496
facebook--convnext-tiny-224,28589128,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],11.24,24.226666666666667,82.074,91.03211948912842,7500,7500,843,6657,6657,10.31425705749513,34.36712526013136,35.45200674370638,10.31425705749513,34.36712526013136,35.45200674370638,10,0,873,55,0,826,4893
facebook--convnext-xlarge-224-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],39.28,62.49333333333333,87.018,95.50745749907166,7500,7500,2946,4554,4554,36.739787641821785,61.252808270489325,62.83984984488118,36.739787641821785,61.252808270489325,62.83984984488118,17,0,1005,82,0,746,2704
