model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
facebook--convnext-base-224,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],19.44,36.64,83.826,92.65039236992848,7500,2240,283,6042,1957,17.256083639486775,42.40656328854592,43.66730838304284,13.865186232083248,37.02915167596364,39.008572823337694,0,0,158,54,0,374,1371
facebook--convnext-base-224-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],33.16,54.68,85.812,94.60412731274617,7500,2240,515,5013,1725,30.02318416919099,56.02684649174079,57.42493632250425,24.68106285936982,50.67858941133435,53.11543935666625,0,0,172,64,0,416,1073
facebook--convnext-base-384,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],25.32,45.64,85.11,93.998343646378,7500,2240,514,5601,1726,25.809760285692647,49.84209732383559,51.18312666231897,25.437508295534506,47.436649282269514,49.67481278737213,0,0,154,57,0,357,1158
facebook--convnext-base-384-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],37.74666666666667,62.36,86.798,95.60488373812319,7500,2240,803,4669,1437,38.09145518328715,61.46655719100994,62.69066378705316,37.91467111093535,59.86872782272786,61.90832502837631,0,0,155,54,0,334,894
facebook--convnext-large-224,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],23.36,41.333333333333336,84.304,93.14386155382334,7500,2240,330,5748,1910,20.519373799381416,45.73628312180971,47.00846208268787,15.718107520070628,39.318035275509416,41.40302428871418,0,0,160,51,0,378,1321
facebook--convnext-large-384,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],29.8,50.70666666666666,85.504,94.33289784647802,7500,2240,570,5265,1670,29.137337343617308,53.632600411889186,55.05620923343296,27.776507929558097,50.606003381356956,52.910458636579605,0,0,163,54,0,354,1099
facebook--convnext-large-384-22k-1k,197767336,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],41.053333333333335,65.50666666666666,87.476,95.95548667577717,7500,2240,866,4421,1374,42.17943829312872,64.4648683055259,65.88392447696351,42.26846684884836,63.440456558420976,65.64843410752079,0,0,146,57,0,334,837
facebook--convnext-small-224,50223688,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],15.506666666666666,31.36,83.182,92.14629721027214,7500,2240,226,6337,2014,14.050309350396992,38.77926481364737,39.960525596405844,10.904362353263629,33.68773573881165,35.56179833429516,0,0,140,47,0,382,1445
facebook--convnext-tiny-224,28589128,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],11.24,24.226666666666667,82.074,91.03211948912842,7500,2240,171,6657,2069,10.31425705749513,34.36712526013136,35.45200674370638,8.068315478784921,30.718875401168237,32.3315360804,0,0,141,39,0,374,1515
facebook--convnext-xlarge-224-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],39.28,62.49333333333333,87.018,95.50745749907166,7500,2240,648,4554,1592,36.739787641821785,61.252808270489325,62.83984984488118,31.954524138169138,55.72531124901492,58.29208562549716,0,0,167,66,0,367,992
facebook--convnext-xlarge-384-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],44.06666666666667,69.28,87.75,96.30618510832161,7500,2240,906,4195,1334,44.75212146708595,67.06028658236897,68.39314941504183,43.791465935465105,65.99475345181827,68.11610460542998,0,0,168,58,0,317,791
facebook--resnet18_ssl,11689512,Flickr YFCC (90M),resnet,cnn,ResNet,['Semi-Supervised Learning'],1.4,3.7466666666666666,72.6,81.4609964167241,7500,2240,39,7395,2201,1.6664993943192006,21.999508344394656,22.844881631234454,1.9553772882702012,22.328088401035615,23.806878361792407,0,0,118,34,0,345,1704
facebook--resnet18_swsl,11689512,Instagram (940M),resnet,cnn,ResNet,['Semi-Supervised Learning'],2.32,6.213333333333333,73.286,81.86740588917462,7500,2240,44,7326,2196,2.296795745163736,23.796933921097224,24.538497824679588,2.011561837593642,23.247197610392906,24.4759965259442,0,0,131,33,0,347,1685
facebook--resnet50_ssl,25557032,Flickr YFCC (90M),resnet,cnn,ResNet,['Semi-Supervised Learning'],6.986666666666666,15.866666666666667,79.228,88.15416648753748,7500,2240,120,6976,2120,6.799434043533134,29.509544090714723,30.667488367951158,5.78528243457345,26.99498868461543,28.973828920880173,0,0,135,47,0,350,1588
facebook--resnet50_swsl,25557032,Instagram (940M),resnet,cnn,ResNet,['Semi-Supervised Learning'],15.946666666666667,29.84,81.17999999999999,90.38081444956865,7500,2240,290,6304,1950,14.264534579332306,38.47013926429815,39.58782973346323,13.288966833631696,35.45951808796661,37.1313170856554,0,0,151,42,0,356,1401
facebook--resnext101_32x16d_ssl,194026792,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],17.173333333333332,32.653333333333336,81.836,91.10085648055104,7500,2240,306,6212,1934,16.462897131174703,40.78861531822818,42.205225790761105,14.981912870804473,37.36764470020697,39.649528520135,0,0,161,48,0,354,1371
facebook--resnext101_32x16d_swsl,194026792,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],27.933333333333334,46.12,83.338,92.24692395152191,7500,2240,554,5405,1686,26.93058683031953,50.28822852037484,51.6580614475179,25.650451186899392,46.5706746270448,48.88439714092513,0,0,125,59,0,334,1168
facebook--resnext101_32x16d_wsl,194026792,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],36.026666666666664,53.04,84.176,93.51549892144358,7500,2240,665,4798,1575,34.101724067919605,55.82202305024671,57.269275443845125,30.12895346949747,50.98288985157977,53.48794285535226,0,0,126,57,0,350,1042
facebook--resnext101_32x32d_wsl,468530472,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],39.38666666666666,57.946666666666665,85.092,94.02897455056166,7500,2240,703,4546,1537,36.99246563389923,58.966845421218515,60.597471639896796,32.53183256923482,52.92384499396148,55.62217760505344,0,0,131,57,0,329,1020
facebook--resnext101_32x48d_wsl,828411176,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],41.54666666666667,60.986666666666665,85.442,94.45112868942245,7500,2240,751,4384,1489,39.32372575344725,61.84419522396226,63.411874789355224,34.27506221840959,55.73439665949539,58.379744278115844,0,0,131,60,0,343,955
facebook--resnext101_32x4d_ssl,44177704,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],12.066666666666666,24.12,80.928,90.17116025873013,7500,2240,219,6595,2021,11.51319641628916,36.323783516188115,37.51330575825312,10.64944784293051,33.35846026405838,35.34781941486468,0,0,147,44,0,372,1458
facebook--resnext101_32x4d_swsl,44177704,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],25.28,41.49333333333333,83.234,92.4482412161286,7500,2240,432,5604,1808,23.107244219391635,47.771711195439536,49.039056669377636,20.492339776435493,43.60312006347604,45.54986154450813,0,0,149,45,0,362,1252
facebook--resnext101_32x8d_ssl,88791336,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],15.066666666666666,29.026666666666667,81.626,90.92204962177516,7500,2240,266,6370,1974,14.390696363041991,38.773366250153565,40.28550168390331,12.539127183850635,34.64674449630394,37.1285465871923,0,0,150,55,0,356,1413
facebook--resnext101_32x8d_swsl,88791336,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],32.04,51.18666666666667,84.294,93.31273754539278,7500,2240,543,5097,1697,29.304755671939443,53.42263605184442,54.70441548890568,25.700736552503052,48.12040937723628,50.17148374437641,0,0,145,51,0,355,1146
facebook--resnext101_32x8d_wsl,88791336,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],28.69333333333333,45.333333333333336,82.68799999999999,91.87480401908077,7500,2240,551,5348,1689,26.919113883472274,50.205097697735035,51.54369914928015,23.826857558238,45.95630116872733,48.152771107634194,0,0,141,50,0,340,1158
facebook--resnext50_32x4d_ssl,25028904,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],9.64,20.066666666666666,80.328,89.4087278321957,7500,2240,171,6777,2069,9.206286467548685,33.550104509706244,34.87315821380107,7.884170795519611,31.56152372294444,33.759890435212384,0,0,148,50,0,378,1493
facebook--resnext50_32x4d_swsl,25028904,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],18.04,32.986666666666665,82.17999999999999,91.43900768220463,7500,2240,326,6147,1914,16.671583444429427,41.933578438219946,43.20075356926626,15.392241560743175,38.622457836862644,40.665161086226206,0,0,158,49,0,363,1344
timm--bat_resnext26ts.ch_in1k,10731200,ImageNet-1k (1.2M),resnext,cnn,ResNet,[],3.32,8.88,78.252,87.33986926386325,7500,2240,58,7251,2182,3.4330295385320406,26.000739662509016,27.07172610590432,2.899008100867686,25.191342665562743,26.96264226451647,0,0,141,44,0,345,1652
timm--beit_base_patch16_224.in22k_ft_in22k_in1k,86530984,ImageNet-21k (14M),beit,transformer,BEIT,['Self-Supervised Learning'],30.333333333333332,50.72,85.21,94.14305929579578,7500,2240,516,5225,1724,28.399089727432575,54.498878579968114,56.15233148350537,24.835776584159667,50.00865882882897,52.73771767814862,0,0,179,67,0,386,1092
timm--beit_base_patch16_384.in22k_ft_in22k_in1k,86744104,ImageNet-21k (14M),beit,transformer,BEIT,['Self-Supervised Learning'],43.346666666666664,65.86666666666666,86.80799999999999,95.47373718558738,7500,2240,752,4249,1488,40.39387094300191,64.24173782782663,65.67080039326294,35.75777593485849,58.41074627889582,60.76264385844314,0,0,155,60,0,358,915
timm--beit_large_patch16_224.in22k_ft_in22k_in1k,304430568,ImageNet-21k (14M),beit,transformer,BEIT,['Self-Supervised Learning'],47.08,68.50666666666666,87.476,96.0210858169182,7500,2240,777,3969,1463,43.59330212195357,65.64190154120493,67.12843543143451,36.94668157873094,59.21548335135813,61.72422861136598,0,0,150,61,0,354,898
timm--beit_large_patch16_384.in22k_ft_in22k_in1k,304998888,ImageNet-21k (14M),beit,transformer,BEIT,['Self-Supervised Learning'],57.626666666666665,79.09333333333333,88.402,96.71688609249398,7500,2240,1019,3178,1221,54.53228877539378,74.30178634386229,75.69332162510709,48.656395800096625,68.24718604674213,70.52998577537996,0,0,140,58,0,300,723
