model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
facebook--convnext-base-224,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],19.44,36.64,83.826,92.65039236992848,7500,4778,1133,6042,3645,17.256083639486775,42.40656328854592,43.66730838304284,23.512573082013702,48.26920814390112,48.508184040685826,10,0,763,9,0,318,2545
facebook--convnext-base-224-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],33.16,54.68,85.812,94.60412731274617,7500,4778,1869,5013,2909,30.02318416919099,56.02684649174079,57.42493632250425,39.422973193487515,63.52031410056386,63.65060228492315,15,0,834,8,0,252,1800
facebook--convnext-base-384,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],25.32,45.64,85.11,93.998343646378,7500,4778,1305,5601,3473,25.809760285692647,49.84209732383559,51.18312666231897,27.738860374440588,51.55628671430621,51.673648829683316,14,0,708,7,0,312,2432
facebook--convnext-base-384-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],37.74666666666667,62.36,86.798,95.60488373812319,7500,4778,1896,4669,2882,38.09145518328715,61.46655719100994,62.69066378705316,40.80591993617455,63.263841722990236,63.37054944825466,16,0,754,8,0,243,1861
facebook--convnext-large-224,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],23.36,41.333333333333336,84.304,93.14386155382334,7500,4778,1369,5748,3409,20.519373799381416,45.73628312180971,47.00846208268787,28.560604103708748,53.31067643530183,53.47556138532187,12,0,815,10,0,294,2278
facebook--convnext-large-384,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],29.8,50.70666666666666,85.504,94.33289784647802,7500,4778,1588,5265,3190,29.137337343617308,53.632600411889186,55.05620923343296,33.29104885550486,57.47341461411932,57.65926671017999,9,0,775,10,0,283,2113
facebook--convnext-large-384-22k-1k,197767336,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],41.053333333333335,65.50666666666666,87.476,95.95548667577717,7500,4778,2080,4421,2698,42.17943829312872,64.4648683055259,65.88392447696351,44.76647211470857,65.61556179620872,65.96487653851626,16,0,711,14,0,224,1733
facebook--convnext-small-224,50223688,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],15.506666666666666,31.36,83.182,92.14629721027214,7500,4778,901,6337,3877,14.050309350396992,38.77926481364737,39.960525596405844,19.342804317146662,43.85070242210082,44.17254899747679,11,0,764,11,0,308,2783
facebook--convnext-tiny-224,28589128,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],11.24,24.226666666666667,82.074,91.03211948912842,7500,4778,647,6657,4131,10.31425705749513,34.36712526013136,35.45200674370638,14.290047191036932,37.2674320614967,37.66489172530264,10,0,699,11,0,320,3091
facebook--convnext-xlarge-224-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],39.28,62.49333333333333,87.018,95.50745749907166,7500,4778,2190,4554,2588,36.739787641821785,61.252808270489325,62.83984984488118,46.01820610718443,69.34833780800649,69.70583484421059,17,0,787,12,0,251,1521
facebook--convnext-xlarge-384-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],44.06666666666667,69.28,87.75,96.30618510832161,7500,4778,2253,4195,2525,44.75212146708595,67.06028658236897,68.39314941504183,48.232438391791035,68.42022647167514,68.73996794554354,18,0,687,15,0,217,1588
