model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
facebook--convnext-base-224,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],19.44,36.64,83.826,92.65039236992848,7500,482,42,6042,440,17.256083639486775,42.40656328854592,43.66730838304284,10.461538549770575,48.081676648872616,49.54947009729699,0,0,45,6,0,129,260
facebook--convnext-base-224-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],33.16,54.68,85.812,94.60412731274617,7500,482,103,5013,379,30.02318416919099,56.02684649174079,57.42493632250425,21.17038739816829,54.93325335926135,55.7834313404462,0,0,46,3,0,128,202
facebook--convnext-base-384,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],25.32,45.64,85.11,93.998343646378,7500,482,80,5601,402,25.809760285692647,49.84209732383559,51.18312666231897,20.029418187948103,56.06178223207985,57.4512548784992,0,0,43,7,0,126,226
facebook--convnext-base-384-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],37.74666666666667,62.36,86.798,95.60488373812319,7500,482,132,4669,350,38.09145518328715,61.46655719100994,62.69066378705316,28.05838979130074,62.928838524633825,64.21761299704673,0,0,54,4,0,117,175
facebook--convnext-large-224,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],23.36,41.333333333333336,84.304,93.14386155382334,7500,482,53,5748,429,20.519373799381416,45.73628312180971,47.00846208268787,14.211845358071812,50.17151948372213,51.482087570606,0,0,40,5,0,132,252
facebook--convnext-large-384,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],29.8,50.70666666666666,85.504,94.33289784647802,7500,482,77,5265,405,29.137337343617308,53.632600411889186,55.05620923343296,19.752625377660042,54.633831864712064,56.2521374630765,0,0,60,8,0,117,220
facebook--convnext-large-384-22k-1k,197767336,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],41.053333333333335,65.50666666666666,87.476,95.95548667577717,7500,482,133,4421,349,42.17943829312872,64.4648683055259,65.88392447696351,31.20782913226094,65.40883793270119,66.84485551288353,0,0,66,5,0,115,163
facebook--convnext-small-224,50223688,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],15.506666666666666,31.36,83.182,92.14629721027214,7500,482,36,6337,446,14.050309350396992,38.77926481364737,39.960525596405844,9.821697522088815,46.09601891533136,46.96799051098717,0,0,40,4,0,134,268
facebook--convnext-tiny-224,28589128,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],11.24,24.226666666666667,82.074,91.03211948912842,7500,482,25,6657,457,10.31425705749513,34.36712526013136,35.45200674370638,6.49541936818685,42.58261797734336,43.56447018586137,0,0,33,5,0,132,287
facebook--convnext-xlarge-224-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],39.28,62.49333333333333,87.018,95.50745749907166,7500,482,108,4554,374,36.739787641821785,61.252808270489325,62.83984984488118,25.330797249556014,58.700382788621354,59.9075674168586,0,0,51,4,0,128,191
facebook--convnext-xlarge-384-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],44.06666666666667,69.28,87.75,96.30618510832161,7500,482,146,4195,336,44.75212146708595,67.06028658236897,68.39314941504183,35.90600420846887,67.38134311398537,68.50407748614766,0,0,54,5,0,117,160
facebook--resnet18_ssl,11689512,Flickr YFCC (90M),resnet,cnn,ResNet,['Semi-Supervised Learning'],1.4,3.7466666666666666,72.6,81.4609964167241,7500,482,3,7395,479,1.6664993943192006,21.999508344394656,22.844881631234454,0.9839816933638443,34.15643283501756,34.680526319961444,0,0,20,5,0,128,326
facebook--resnet18_swsl,11689512,Instagram (940M),resnet,cnn,ResNet,['Semi-Supervised Learning'],2.32,6.213333333333333,73.286,81.86740588917462,7500,482,2,7326,480,2.296795745163736,23.796933921097224,24.538497824679588,0.4910857264866019,34.8024795199036,35.551457877126715,0,0,26,5,0,124,325
facebook--resnet50_ssl,25557032,Flickr YFCC (90M),resnet,cnn,ResNet,['Semi-Supervised Learning'],6.986666666666666,15.866666666666667,79.228,88.15416648753748,7500,482,21,6976,461,6.799434043533134,29.509544090714723,30.667488367951158,6.873747208595571,40.464684675756175,41.6020389309594,0,0,35,5,0,119,302
facebook--resnet50_swsl,25557032,Instagram (940M),resnet,cnn,ResNet,['Semi-Supervised Learning'],15.946666666666667,29.84,81.17999999999999,90.38081444956865,7500,482,40,6304,442,14.264534579332306,38.47013926429815,39.58782973346323,8.746175491340717,44.06084834749442,45.484645936705554,0,0,39,7,0,128,268
facebook--resnext101_32x16d_ssl,194026792,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],17.173333333333332,32.653333333333336,81.836,91.10085648055104,7500,482,42,6212,440,16.462897131174703,40.78861531822818,42.205225790761105,11.15562444816223,44.93989129332878,46.61065522214131,0,0,46,8,0,121,265
facebook--resnext101_32x16d_swsl,194026792,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],27.933333333333334,46.12,83.338,92.24692395152191,7500,482,94,5405,388,26.93058683031953,50.28822852037484,51.6580614475179,20.56642242864324,51.757551528612545,52.3005757558473,0,0,37,3,0,121,227
facebook--resnext101_32x16d_wsl,194026792,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],36.026666666666664,53.04,84.176,93.51549892144358,7500,482,161,4798,321,34.101724067919605,55.82202305024671,57.269275443845125,34.821076307574046,61.574112338572206,62.38864867942434,0,0,41,4,0,94,182
