model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified,num_all_imagenet-m_samples,num_group_imagenet-m_samples,num_imagenet-m_errors
facebook--convnext-base-224,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],83.826,83.826,92.65039236992848,18692,18692,16286,2406,2406,92.65039236992848,96.74699819186698,97.33161862518315,92.65039236992848,96.74699819186698,97.33161862518315,104,948,599,102,8,144,501,68,68,50
facebook--convnext-base-224-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],85.812,85.812,94.60412731274617,18692,18692,16688,2004,2004,94.60412731274617,98.02480476996372,98.41857199087485,94.60412731274617,98.02480476996372,98.41857199087485,102,909,517,71,3,106,296,68,68,45
facebook--convnext-base-384,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],85.11,85.11,93.998343646378,18692,18692,16530,2162,2162,93.998343646378,97.48536587767268,98.06660500232508,93.998343646378,97.48536587767268,98.06660500232508,102,953,512,100,9,124,362,68,68,46
facebook--convnext-base-384-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],86.798,86.798,95.60488373812319,18692,18692,16856,1836,1836,95.60488373812319,98.61604004140013,98.97261126987917,95.60488373812319,98.61604004140013,98.97261126987917,114,909,452,62,5,100,194,68,68,45
facebook--convnext-large-224,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],84.304,84.304,93.14386155382334,18692,18692,16402,2290,2290,93.14386155382334,97.00722531983018,97.57431932489628,93.14386155382334,97.00722531983018,97.57431932489628,100,923,571,98,9,134,455,68,68,46
facebook--convnext-large-384,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],85.504,85.504,94.33289784647802,18692,18692,16618,2074,2074,94.33289784647802,97.76850191818872,98.28717635907283,94.33289784647802,97.76850191818872,98.28717635907283,96,934,501,86,11,123,323,68,68,48
facebook--convnext-large-384-22k-1k,197767336,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.476,87.476,95.95548667577717,18692,18692,16948,1744,1744,95.95548667577717,98.73344044972936,99.11747510745201,95.95548667577717,98.73344044972936,99.11747510745201,101,898,422,67,6,84,166,68,68,46
facebook--convnext-small-224,50223688,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],83.182,83.182,92.14629721027214,18692,18692,16186,2506,2506,92.14629721027214,96.61773763946798,97.11194646684628,92.14629721027214,96.61773763946798,97.11194646684628,110,947,662,84,9,152,542,68,68,48
facebook--convnext-tiny-224,28589128,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],82.074,82.074,91.03211948912842,18692,18692,15947,2745,2745,91.03211948912842,95.7134465903897,96.37415887002608,91.03211948912842,95.7134465903897,96.37415887002608,111,976,683,113,11,170,681,68,68,45
facebook--convnext-xlarge-224-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.018,87.018,95.50745749907166,18692,18692,16887,1805,1805,95.50745749907166,98.51724116827467,98.87733224936416,95.50745749907166,98.51724116827467,98.87733224936416,99,886,449,63,5,94,209,68,68,40
facebook--convnext-xlarge-384-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.75,87.75,96.30618510832161,18692,18692,17040,1652,1652,96.30618510832161,98.85545960016951,99.23393933079312,96.30618510832161,98.85545960016951,99.23393933079312,93,882,392,64,7,71,143,68,68,46
facebook--resnet18_ssl,11689512,Flickr YFCC (90M),resnet,cnn,ResNet,['Semi-Supervised Learning'],72.6,72.6,81.4609964167241,18692,18692,14172,4520,4520,81.4609964167241,89.79312421840324,90.83341724452055,81.4609964167241,89.79312421840324,90.83341724452055,100,1002,1290,183,13,220,1712,68,68,52
facebook--resnet18_swsl,11689512,Instagram (940M),resnet,cnn,ResNet,['Semi-Supervised Learning'],73.286,73.286,81.86740588917462,18692,18692,14255,4437,4437,81.86740588917462,90.20635225670469,91.17323584697067,81.86740588917462,90.20635225670469,91.17323584697067,101,1001,1292,168,14,210,1651,68,68,46
facebook--resnet50_ssl,25557032,Flickr YFCC (90M),resnet,cnn,ResNet,['Semi-Supervised Learning'],79.228,79.228,88.15416648753748,18692,18692,15417,3275,3275,88.15416648753748,94.37257973150037,95.10502317041441,88.15416648753748,94.37257973150037,95.10502317041441,101,994,931,130,8,196,915,68,68,53
facebook--resnet50_swsl,25557032,Instagram (940M),resnet,cnn,ResNet,['Semi-Supervised Learning'],81.17999999999999,81.17999999999999,90.38081444956865,18692,18692,15813,2879,2879,90.38081444956865,95.59267617358603,96.32511609434633,90.38081444956865,95.59267617358603,96.32511609434633,119,988,790,127,11,155,689,68,68,45
facebook--resnext101_32x16d_ssl,194026792,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],81.836,81.836,91.10085648055104,18692,18692,15953,2739,2739,91.10085648055104,96.1090555815018,96.74192948477423,91.10085648055104,96.1090555815018,96.74192948477423,111,983,752,110,8,163,612,68,68,48
facebook--resnext101_32x16d_swsl,194026792,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],83.338,83.338,92.24692395152191,18692,18692,16194,2498,2498,92.24692395152191,96.7086525939664,97.32284730963947,92.24692395152191,96.7086525939664,97.32284730963947,122,946,681,109,8,127,505,68,68,42
