model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified,num_all_imagenet-m_samples,num_group_imagenet-m_samples,num_imagenet-m_errors
facebook--convnext-base-224,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],83.826,83.826,92.65039236992848,18692,10184,8451,2406,1733,92.65039236992848,96.74699819186698,97.33161862518315,88.26228206891453,95.00766651307889,96.20275661566532,74,717,312,90,7,127,406,68,47,35
facebook--convnext-base-224-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],85.812,85.812,94.60412731274617,18692,10184,8781,2004,1403,94.60412731274617,98.02480476996372,98.41857199087485,92.59693775980092,97.11975874319958,97.72527282823124,75,692,245,61,2,91,237,68,47,34
facebook--convnext-base-384,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],85.11,85.11,93.998343646378,18692,10184,8634,2162,1550,93.998343646378,97.48536587767268,98.06660500232508,90.95826854578686,95.88250100470674,96.97668305434426,74,722,251,90,9,104,300,68,47,33
facebook--convnext-base-384-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],86.798,86.798,95.60488373812319,18692,10184,8920,1836,1264,95.60488373812319,98.61604004140013,98.97261126987917,93.86748348602981,97.80769806515353,98.48442274226518,84,690,195,53,5,85,152,68,47,29
facebook--convnext-large-224,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],84.304,84.304,93.14386155382334,18692,10184,8526,2290,1658,93.14386155382334,97.00722531983018,97.57431932489628,89.83304417726099,95.62837638014072,96.65940114932225,77,694,307,86,8,114,372,68,47,33
facebook--convnext-large-384,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],85.504,85.504,94.33289784647802,18692,10184,8692,2074,1492,94.33289784647802,97.76850191818872,98.28717635907283,92.0838745959569,96.7072155267385,97.57936303639508,72,713,253,76,9,108,261,68,47,32
facebook--convnext-large-384-22k-1k,197767336,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.476,87.476,95.95548667577717,18692,10184,8974,1744,1210,95.95548667577717,98.73344044972936,99.11747510745201,94.18727052720752,98.04850883057844,98.71407701863792,75,684,189,55,5,72,130,68,47,32
facebook--convnext-small-224,50223688,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],83.182,83.182,92.14629721027214,18692,10184,8381,2506,1803,92.14629721027214,96.61773763946798,97.11194646684628,88.06491356826565,94.7520134133457,95.78385080514714,79,718,350,73,7,133,443,68,47,32
facebook--convnext-tiny-224,28589128,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],82.074,82.074,91.03211948912842,18692,10184,8223,2745,1961,91.03211948912842,95.7134465903897,96.37415887002608,87.09746367930205,93.43610111824587,94.53836385113713,83,742,355,91,8,146,536,68,47,32
facebook--convnext-xlarge-224-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.018,87.018,95.50745749907166,18692,10184,8897,1805,1287,95.50745749907166,98.51724116827467,98.87733224936416,93.41704177783117,97.81963180387888,98.41422397628583,75,674,223,52,3,83,177,68,47,30
facebook--convnext-xlarge-384-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.75,87.75,96.30618510832161,18692,10184,9019,1652,1165,96.30618510832161,98.85545960016951,99.23393933079312,94.82270674106758,98.41568419262614,99.07147209225049,71,677,178,54,6,64,115,68,47,33
facebook--resnet18_ssl,11689512,Flickr YFCC (90M),resnet,cnn,ResNet,['Semi-Supervised Learning'],72.6,72.6,81.4609964167241,18692,10184,7085,4520,3099,81.4609964167241,89.79312421840324,90.83341724452055,75.2693147546316,84.60468807950488,86.38071177984794,67,788,608,150,9,177,1300,68,47,41
facebook--resnet18_swsl,11689512,Instagram (940M),resnet,cnn,ResNet,['Semi-Supervised Learning'],73.286,73.286,81.86740588917462,18692,10184,7146,4437,3038,81.86740588917462,90.20635225670469,91.17323584697067,75.86840740629886,85.11734470304178,86.81133148365329,70,782,615,145,10,173,1243,68,47,38
facebook--resnet50_ssl,25557032,Flickr YFCC (90M),resnet,cnn,ResNet,['Semi-Supervised Learning'],79.228,79.228,88.15416648753748,18692,10184,7864,3275,2320,88.15416648753748,94.37257973150037,95.10502317041441,83.41180553433,92.04714392188787,93.2228999570161,74,777,476,107,6,176,704,68,47,39
facebook--resnet50_swsl,25557032,Instagram (940M),resnet,cnn,ResNet,['Semi-Supervised Learning'],81.17999999999999,81.17999999999999,90.38081444956865,18692,10184,8166,2879,2018,90.38081444956865,95.59267617358603,96.32511609434633,86.74998446988982,93.18925091948566,94.32904337411723,87,761,392,106,7,126,539,68,47,35
facebook--resnext101_32x16d_ssl,194026792,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],81.836,81.836,91.10085648055104,18692,10184,8255,2739,1929,91.10085648055104,96.1090555815018,96.74192948477423,86.91577260383029,93.5009598004841,94.78517697826572,80,763,369,92,8,137,480,68,47,36
facebook--resnext101_32x16d_swsl,194026792,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],83.338,83.338,92.24692395152191,18692,10184,8422,2498,1762,92.24692395152191,96.7086525939664,97.32284730963947,88.91819047218796,94.83614537741761,96.07927316655822,88,731,334,99,6,111,393,68,47,30
facebook--resnext101_32x16d_wsl,194026792,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],84.176,84.176,93.51549892144358,18692,10184,8510,2304,1674,93.51549892144358,97.09310211589272,97.73496945864625,91.29526553597779,96.09743783579393,97.2010930789502,77,788,270,99,5,97,338,68,47,32
facebook--resnext101_32x32d_wsl,468530472,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],85.092,85.092,94.02897455056166,18692,10184,8641,2160,1543,94.02897455056166,97.56912829301793,98.0541073224164,91.53326531038933,96.28729926915602,97.17808456934422,79,742,262,68,8,94,290,68,47,30
facebook--resnext101_32x48d_wsl,828411176,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],85.442,85.442,94.45112868942245,18692,10184,8748,2035,1436,94.45112868942245,97.71279879820933,98.17919810624556,92.85376354204901,96.88737752564936,97.61367839171301,69,698,241,70,3,87,268,68,47,31
facebook--resnext101_32x4d_ssl,44177704,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],80.928,80.928,90.17116025873013,18692,10184,8156,2912,2028,90.17116025873013,95.68566235321306,96.42698800640403,86.3790094090131,93.52349461835443,94.94512669221862,82,754,407,109,4,156,516,68,47,37
facebook--resnext101_32x4d_swsl,44177704,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],83.234,83.234,92.4482412161286,18692,10184,8403,2487,1781,92.4482412161286,96.74305071734284,97.21096062434329,89.74543337563514,94.98885388246391,95.69531739406317,77,776,325,67,6,115,415,68,47,30
facebook--resnext101_32x8d_ssl,88791336,Flickr YFCC (90M),resnext,cnn,ResNet,['Semi-Supervised Learning'],81.626,81.626,90.92204962177516,18692,10184,8230,2761,1954,90.92204962177516,95.96930688119961,96.64011238503521,86.84290364815884,93.61290127090987,95.16220411122299,81,756,386,103,6,132,490,68,47,34
facebook--resnext101_32x8d_swsl,88791336,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],84.294,84.294,93.31273754539278,18692,10184,8553,2306,1631,93.31273754539278,97.26807470951853,97.8137076172024,91.37344777420027,96.25180924141739,97.14961149064129,76,743,295,82,4,105,326,68,47,33
facebook--resnext101_32x8d_wsl,88791336,Instagram (940M),resnext,cnn,ResNet,['Semi-Supervised Learning'],82.68799999999999,82.68799999999999,91.87480401908077,18692,10184,8335,2595,1849,91.87480401908077,96.2994126461778,97.00743736225975,88.83603609999649,94.66444455830508,95.74776328825581,83,770,311,107,7,119,452,68,47,36
