model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified,num_all_imagenet-m_samples,num_group_imagenet-m_samples,num_imagenet-m_errors
facebook--convnext-base-224,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],83.826,83.826,92.65039236992848,18692,7624,6990,2406,634,92.65039236992848,96.74699819186698,97.33161862518315,93.40027317670807,98.0000378235077,98.30337780683101,30,216,288,8,1,11,80,68,21,12
facebook--convnext-base-224-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],85.812,85.812,94.60412731274617,18692,7624,7059,2004,565,94.60412731274617,98.02480476996372,98.41857199087485,94.52067123953286,98.91540612277694,98.99990378199477,27,202,266,6,1,10,53,68,21,11
facebook--convnext-base-384,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],85.11,85.11,93.998343646378,18692,7624,7044,2162,580,93.998343646378,97.48536587767268,98.06660500232508,94.87070488439862,98.7840071666578,98.88266273596113,28,222,254,8,0,12,56,68,21,11
facebook--convnext-base-384-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],86.798,86.798,95.60488373812319,18692,7624,7072,1836,552,95.60488373812319,98.61604004140013,98.97261126987917,94.99004150915317,98.99185075030513,99.16806908947895,31,211,253,7,0,10,40,68,21,13
facebook--convnext-large-224,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],84.304,84.304,93.14386155382334,18692,7624,7035,2290,589,93.14386155382334,97.00722531983018,97.57431932489628,94.18693996658988,98.85153887743792,99.0356158455706,23,217,261,7,1,14,66,68,21,10
facebook--convnext-large-384,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],85.504,85.504,94.33289784647802,18692,7624,7064,2074,560,94.33289784647802,97.76850191818872,98.28717635907283,94.74242694235551,99.03908531885432,99.22637808086725,24,220,249,6,2,7,52,68,21,13
facebook--convnext-large-384-22k-1k,197767336,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.476,87.476,95.95548667577717,18692,7624,7107,1744,517,95.95548667577717,98.73344044972936,99.11747510745201,94.73845391206667,99.20359452093199,99.29411639550959,28,201,236,7,1,12,32,68,21,14
facebook--convnext-small-224,50223688,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],83.182,83.182,92.14629721027214,18692,7624,6971,2506,653,92.14629721027214,96.61773763946798,97.11194646684628,93.41952953348525,98.36629535813866,98.43663510727099,31,210,308,4,2,12,86,68,21,13
facebook--convnext-tiny-224,28589128,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],82.074,82.074,91.03211948912842,18692,7624,6913,2745,711,91.03211948912842,95.7134465903897,96.37415887002608,91.99646556011164,97.46428246458018,97.61604553162068,28,215,319,10,3,13,123,68,21,13
facebook--convnext-xlarge-224-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.018,87.018,95.50745749907166,18692,7624,7130,1805,494,95.50745749907166,98.51724116827467,98.87733224936416,95.32603134710781,99.37316672104714,99.45329358522974,25,196,225,6,1,11,30,68,21,9
