model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified,num_all_imagenet-m_samples,num_group_imagenet-m_samples,num_imagenet-m_errors
facebook--convnext-base-224,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],83.826,83.826,92.65039236992848,18692,1596,1269,2406,327,92.65039236992848,96.74699819186698,97.33161862518315,89.22827025547058,94.04817274957519,97.0034295551837,3,197,50,20,0,18,39,68,11,11
facebook--convnext-base-224-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],85.812,85.812,94.60412731274617,18692,1596,1326,2004,270,94.60412731274617,98.02480476996372,98.41857199087485,93.17698556502393,96.92125859964808,97.61554423693642,4,186,35,9,0,14,22,68,11,9
facebook--convnext-base-384,88591464,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],85.11,85.11,93.998343646378,18692,1596,1311,2162,285,93.998343646378,97.48536587767268,98.06660500232508,89.54832414006913,93.9854583599144,96.69011237771848,2,178,45,18,0,14,28,68,11,11
facebook--convnext-base-384-22k-1k,88591464,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],86.798,86.798,95.60488373812319,18692,1596,1357,1836,239,95.60488373812319,98.61604004140013,98.97261126987917,93.34175549110418,98.14245675633015,98.83916781200313,4,165,35,9,0,13,13,68,11,9
facebook--convnext-large-224,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],84.304,84.304,93.14386155382334,18692,1596,1291,2290,305,93.14386155382334,97.00722531983018,97.57431932489628,87.96485317386714,94.89796880834957,96.22758894163209,3,175,52,14,0,18,43,68,11,10
facebook--convnext-large-384,197767336,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],85.504,85.504,94.33289784647802,18692,1596,1326,2074,270,94.33289784647802,97.76850191818872,98.28717635907283,91.1059817248914,95.57157101663525,96.86662893793623,2,175,36,14,0,16,27,68,11,10
facebook--convnext-large-384-22k-1k,197767336,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.476,87.476,95.95548667577717,18692,1596,1358,1744,238,95.95548667577717,98.73344044972936,99.11747510745201,95.02563560795,97.86657503974989,99.09787910636805,4,172,27,12,0,8,15,68,11,8
facebook--convnext-small-224,50223688,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],83.182,83.182,92.14629721027214,18692,1596,1262,2506,334,92.14629721027214,96.61773763946798,97.11194646684628,89.00112280339405,94.91698716838175,96.21789689276953,3,198,54,16,0,20,43,68,11,10
facebook--convnext-tiny-224,28589128,ImageNet-1k (1.2M),convnext,cnn,ConvNeXt,[],82.074,82.074,91.03211948912842,18692,1596,1241,2745,355,91.03211948912842,95.7134465903897,96.37415887002608,83.97420767967623,92.76312449144905,94.67714986390703,4,184,60,23,0,26,58,68,11,8
facebook--convnext-xlarge-224-22k-1k,350196968,ImageNet-21k (14M),convnext,cnn,ConvNeXt,[],87.018,87.018,95.50745749907166,18692,1596,1340,1805,256,95.50745749907166,98.51724116827467,98.87733224936416,92.73511725006922,97.8561084875376,99.1348667367343,4,184,34,12,1,9,12,68,11,8
